id,settore,fornitore,codice,descrizione,collocazione,cespite,quantita,in_uso,unita,prezzo,note
21149,Elettrico-Elettronico,,,"PRESA TV COASSIALE PASSANTE (NO UE) TIPO VIMAR 8166",E5,,3,0,,10.73000,
21148,Elettrico-Elettronico,,,"PRESA TIPO F Z75? CONNETTORE COASSIALE TIPO VIMAR 8186",E5,,23,0,,10.73000,
21147,Elettrico-Elettronico,,,"PRESA TELEFONICA SIP RJ11 TIPO BTICINO ",F5,,3,0,,0.70000,
21146,Elettrico-Elettronico,,,"PRESA TELEFONICA SIP 3POLI CLASSICA TIPO BTICINO 2053",F5,,19,0,,4.38000,
21145,Elettrico-Elettronico,,,"PRESA RJ45 8 CONTATTI E MORSETTI A VITE TIPO VIMAR 8217",F5,,24,0,,10.54000,
21144,Elettrico-Elettronico,,,"PRESA RJ11 4 CONTATTI E MORSETTI A VITE TIPO VIMAR 8215",F5,,35,0,,10.54000,
21143,Elettrico-Elettronico,,,"PRESA PASSANTE TV-RD-SAT 20DB  TIPO VIMAR 8190.20",E5,,25,0,,9.18000,
21142,Elettrico-Elettronico,,,"PRESA PASSANTE TV-RD-SAT 10DB  TIPO VIMAR 8190.10",E5,,25,0,,7.82000,
21141,Elettrico-Elettronico,,,"PRESA DIRETTA TV-RD-SAT 1DB  TIPO VIMAR 8190.01",E5,,14,0,,7.82000,
21140,Elettrico-Elettronico,,,"PRESA CON INTERRUTTORE DI BLOCCO E FUSIBILI DI PROTEZIONE 380 V CEE 3P+T IP44 ",M4,,0,0,,31.56000,
21139,Elettrico-Elettronico,,,"PRESA CON INTERRUTTORE DI BLOCCO E FUSIBILI DI PROTEZIONE 380 V CEE 3P+N+T IP44 ",M4,,1,0,,31.56000,
21138,Elettrico-Elettronico,,,"PRESA CON INTERRUTTORE DI BLOCCO E FUSIBILI DI PROTEZIONE 24 V CEE 2P IP44 ",M4,,0,0,,28.20000,
21137,Elettrico-Elettronico,,,"PRESA CON INTERRUTTORE DI BLOCCO E FUSIBILI DI PROTEZIONE 220 V CEE 2P+T IP44 ",M4,,0,0,,28.20000,
21136,Elettrico-Elettronico,,,"PRESA 380 V CEE 3P+T IP44",M4,,2,0,,18.79000,
21135,Elettrico-Elettronico,,,"PRESA 380 V CEE 3P+N+T IP44",M4,,0,0,,18.79000,
21134,Elettrico-Elettronico,,,"PRESA 24 V MAGIC DI SICUREZZA 2P+T IRREVERSIBILE TIPO BTICINO 5300 NERO",I3,,34,0,,10.27000,
21133,Elettrico-Elettronico,,,"PRESA 24 V MAGIC DI SICUREZZA 2P+T IRREVERSIBILE TIPO BTICINO 5100 BIANCO",I3,,32,0,,10.27000,
21132,Elettrico-Elettronico,,,"PRESA 24 V CEE 2P IP44",M4,,1,0,,13.58000,
21131,Elettrico-Elettronico,,,"PRESA 220 V CEE 2P+T IP44",M4,,0,0,,10.38000,
21130,Elettrico-Elettronico,,,"PRESA 16A TIPO VIMAR 8143",F2,,87,0,,2.55600,
21129,Elettrico-Elettronico,,,"PRESA 10A+16A BIPASSO TIPO VIMAR 8145",F2,,67,0,,2.70000,
21128,Elettrico-Elettronico,,,"PRESA 10A TIPO VIMAR 8140",F2,,83,0,,2.18040,
21127,Elettrico-Elettronico,,,"PRESA 10A TIPO BTICINO MAGIC 5113",I3,,14,0,,2.83000,
21126,Elettrico-Elettronico,,,"POTENZIOMETRO LINEARE 470 K? 1/2W",U3,,10,0,,1.32000,
